frequency,s11,s12_mag,s12_phase,s22,r_mag,r_phase,alfa,coherence
1048,257.6742,239.3566,-0.4299,222.9416,0.196,-2.123,0.96,1.0
1054,188.3214,177.367,-0.4413,167.6929,0.181,-2.17,0.97,1.0
1060,178.3541,165.4016,-0.441,154.0353,0.189,-2.063,0.96,1.0
1066,162.9651,153.857,-0.4532,145.9424,0.173,-2.132,0.97,1.0
1072,170.8189,160.2244,-0.4471,150.9072,0.184,-2.088,0.97,1.0
1078,153.9353,144.9748,-0.454,137.1697,0.178,-2.087,0.97,1.0
1083,187.4064,177.8417,-0.4406,169.363,0.193,-2.137,0.96,1.0
1089,125.1051,118.2748,-0.46,112.4222,0.176,-2.07,0.97,0.99
1095,113.3852,107.6379,-0.4445,102.8167,0.194,-2.099,0.96,0.99
1101,136.0719,131.1352,-0.4421,126.9691,0.196,-2.173,0.96,1.0
1107,122.057,117.2084,-0.4493,113.1358,0.192,-2.128,0.96,0.99
1113,125.8085,119.1993,-0.4251,113.4119,0.224,-2.062,0.95,1.0
1119,112.6713,109.2718,-0.4496,106.5325,0.195,-2.148,0.96,0.99
1125,107.104,105.5085,-0.4392,104.4624,0.207,-2.221,0.96,0.99
1130,78.4876,77.9668,-0.4359,77.9587,0.213,-2.247,0.95,0.99
1136,91.4429,88.8669,-0.4415,86.8839,0.212,-2.108,0.96,0.99
1142,110.7725,109.8687,-0.4555,109.5285,0.197,-2.195,0.96,0.99
1148,94.7829,94.1266,-0.4452,94.0046,0.212,-2.187,0.96,0.99
1154,114.0873,113.3668,-0.4507,113.1684,0.207,-2.167,0.96,1.0
1160,70.1087,69.8531,-0.4498,70.1421,0.21,-2.157,0.96,0.99
1166,88.3852,87.6736,-0.4473,87.4472,0.216,-2.114,0.95,0.99
1171,87.7652,87.6401,-0.4631,88.0142,0.202,-2.13,0.96,0.99
1177,102.5841,103.5712,-0.4522,105.0907,0.217,-2.162,0.95,0.99
1183,114.9926,116.0097,-0.4524,117.5188,0.218,-2.136,0.95,1.0
1189,88.8792,90.4759,-0.4649,92.6277,0.208,-2.165,0.96,0.99
1195,127.377,130.9859,-0.4634,135.18,0.213,-2.196,0.95,1.0
1201,99.0146,103.27,-0.4719,108.207,0.208,-2.247,0.96,1.0
1207,113.4199,118.1048,-0.4554,123.4649,0.228,-2.206,0.95,1.0
1212,95.3239,98.8646,-0.4624,103.0434,0.223,-2.166,0.95,1.0
1218,117.906,121.9369,-0.4778,126.6205,0.209,-2.139,0.96,1.0
1224,118.4687,124.1819,-0.4682,130.6637,0.222,-2.175,0.95,1.0
1230,116.9862,123.7074,-0.4697,131.3171,0.226,-2.192,0.95,1.0
1236,138.4382,144.3818,-0.4746,151.0612,0.22,-2.106,0.95,1.0
1242,119.717,127.1425,-0.4677,135.526,0.233,-2.16,0.95,1.0
1248,142.0519,151.4509,-0.4652,161.9567,0.239,-2.154,0.94,1.0
1253,143.1567,154.6752,-0.4695,167.5913,0.239,-2.189,0.94,1.0
1259,154.0567,165.4346,-0.4791,178.1426,0.231,-2.149,0.95,1.0
1265,135.838,147.0114,-0.4717,159.5869,0.243,-2.151,0.94,1.0
1271,126.572,136.0604,-0.4755,146.7335,0.239,-2.099,0.94,1.0
1277,116.0899,127.0216,-0.4712,139.4467,0.25,-2.145,0.94,1.0
1283,133.0006,145.4532,-0.4807,159.5631,0.243,-2.126,0.94,1.0
1289,83.9163,91.2613,-0.4691,99.6838,0.255,-2.069,0.94,1.0
1294,100.5956,111.66,-0.471,124.4034,0.26,-2.126,0.93,1.0
1300,68.0396,76.584,-0.4814,86.67,0.257,-2.163,0.93,0.99
1306,102.3156,114.8688,-0.5001,129.4338,0.24,-2.154,0.94,1.0
1312,83.8101,94.1933,-0.484,106.3323,0.258,-2.112,0.93,1.0
1318,61.3665,70.3248,-0.4756,81.051,0.274,-2.147,0.92,0.99
1324,68.851,78.7539,-0.4807,90.5474,0.271,-2.121,0.93,0.99
1330,69.4737,80.1224,-0.5011,92.8733,0.257,-2.15,0.93,0.99
1335,54.4163,63.2134,-0.4889,73.9123,0.272,-2.133,0.93,0.99
1341,55.8554,65.3883,-0.4873,77.0174,0.278,-2.129,0.92,0.99
1347,56.517,66.5005,-0.4953,78.757,0.274,-2.13,0.92,0.99
1353,44.4419,53.0042,-0.5095,63.7363,0.269,-2.171,0.93,0.99
1359,74.8716,90.1763,-0.4992,109.1015,0.285,-2.157,0.92,1.0
1365,59.5089,72.2033,-0.4956,88.1042,0.292,-2.147,0.91,0.99
1371,53.4,64.7062,-0.5144,78.931,0.277,-2.147,0.92,0.99
1376,57.5304,70.5468,-0.5079,87.0385,0.29,-2.145,0.92,0.99
1382,53.1805,64.9317,-0.5363,79.8213,0.265,-2.149,0.93,0.99
1388,40.8765,50.8265,-0.5211,63.751,0.287,-2.151,0.92,0.99
1394,63.7878,79.6812,-0.5295,100.0915,0.284,-2.148,0.92,0.99
1400,81.5872,102.1522,-0.5316,128.4512,0.285,-2.132,0.92,1.0
1406,64.4476,80.6654,-0.5187,101.4609,0.297,-2.083,0.91,1.0
1412,54.691,68.5287,-0.5553,86.433,0.27,-2.12,0.93,0.99
1417,62.7652,80.5468,-0.5525,103.9591,0.286,-2.151,0.92,0.99
1423,81.9712,104.2234,-0.5571,133.0889,0.279,-2.105,0.92,1.0
1429,68.5299,89.2819,-0.5582,116.9244,0.292,-2.142,0.91,0.99
1435,93.6151,122.0525,-0.5628,159.754,0.289,-2.123,0.92,1.0
1441,78.0262,101.349,-0.5642,132.236,0.289,-2.084,0.92,1.0
1447,77.3698,101.6824,-0.5606,134.2265,0.298,-2.084,0.91,1.0
1453,63.4872,83.6591,-0.5762,110.8689,0.289,-2.089,0.92,0.99
1458,129.4368,174.5691,-0.5819,236.0867,0.298,-2.124,0.91,1.0
1464,97.1585,131.1259,-0.5854,177.6464,0.297,-2.104,0.91,1.0
1470,78.5674,107.4046,-0.5892,147.521,0.304,-2.105,0.91,0.99
1476,89.0706,121.9014,-0.596,167.5319,0.301,-2.095,0.91,1.0
1482,96.0732,131.7798,-0.6195,181.4833,0.288,-2.113,0.92,1.0
1488,91.2386,129.1748,-0.6216,183.6091,0.305,-2.151,0.91,1.0
1494,86.3748,120.9752,-0.6166,170.2096,0.303,-2.096,0.91,1.0
1500,84.1366,118.1217,-0.6098,166.5071,0.309,-2.06,0.9,1.0
1505,78.3749,111.3983,-0.6383,159.1468,0.3,-2.105,0.91,0.99
1511,77.2006,109.5468,-0.6361,156.2049,0.301,-2.069,0.91,1.0
1517,80.541,115.0387,-0.6443,165.116,0.301,-2.067,0.91,1.0
1523,54.1871,78.6591,-0.6586,115.0356,0.303,-2.092,0.91,0.99
1529,42.373,62.0722,-0.6504,91.7824,0.314,-2.062,0.9,0.99
1535,50.8948,75.9876,-0.6687,114.3755,0.315,-2.099,0.9,0.99
1541,36.2898,53.1964,-0.6833,78.8906,0.299,-2.069,0.91,0.99
1546,37.2965,55.9352,-0.6924,84.8427,0.308,-2.09,0.91,0.99
1552,41.2436,61.9993,-0.6955,94.1677,0.308,-2.071,0.91,0.99
1558,37.1275,57.6188,-0.7013,90.447,0.325,-2.095,0.89,0.99
1564,27.4373,41.2123,-0.6965,62.8568,0.308,-2.017,0.91,0.98
1570,22.8,35.0096,-0.7114,54.8227,0.314,-2.041,0.9,0.98
1576,24.1136,37.955,-0.7313,60.8548,0.323,-2.083,0.9,0.98
1582,19.9471,29.9589,-0.7349,46.0583,0.294,-2.001,0.91,0.98
1587,27.3442,42.706,-0.7476,67.895,0.31,-2.046,0.9,0.98
1593,18.6936,29.063,-0.728,46.2895,0.316,-1.978,0.9,0.98
1599,16.7569,26.4505,-0.7541,42.9598,0.316,-2.014,0.9,0.97
1605,20.1992,31.0973,-0.7694,49.0385,0.297,-1.984,0.91,0.98
1611,19.8631,31.4413,-0.7859,51.0563,0.307,-2.016,0.91,0.97
1617,17.3826,27.5187,-0.7875,44.8507,0.305,-1.991,0.91,0.97
1623,16.6451,27.27,-0.7998,46.0651,0.323,-2.019,0.9,0.97
1628,17.5057,29.0964,-0.8102,49.772,0.327,-2.019,0.89,0.97
1634,17.2209,27.0121,-0.8232,43.58,0.292,-1.965,0.91,0.97
1640,14.3941,22.8946,-0.8356,37.792,0.296,-1.967,0.91,0.96
1646,16.2189,25.6236,-0.8341,41.724,0.293,-1.933,0.91,0.97
1652,13.7516,22.8752,-0.8201,39.4159,0.325,-1.917,0.89,0.96
1658,13.9137,22.7796,-0.8589,38.8261,0.307,-1.952,0.91,0.96
1664,14.6063,23.5203,-0.8731,39.2853,0.295,-1.935,0.91,0.96
1669,12.8216,21.7039,-0.9101,38.4183,0.316,-2.009,0.9,0.96
1675,16.7389,28.3464,-0.9455,49.6935,0.309,-2.046,0.9,0.97
1681,12.3178,20.5688,-0.933,36.0667,0.302,-1.987,0.91,0.95
1687,17.3561,29.626,-0.9462,52.3268,0.314,-1.99,0.9,0.97
1693,17.1689,29.9769,-0.9606,54.2329,0.324,-1.998,0.9,0.97
1699,14.5719,25.7229,-0.951,47.2508,0.33,-1.959,0.89,0.96
1705,16.6289,28.1219,-0.9889,49.3459,0.302,-1.977,0.91,0.96
1710,14.8149,25.9824,-0.9975,47.5388,0.321,-1.978,0.9,0.96
1716,15.6878,26.2814,-1.0148,45.7766,0.294,-1.967,0.91,0.96
1722,14.9897,26.4467,-1.0195,48.6538,0.322,-1.959,0.9,0.96
1728,15.1236,25.6424,-1.0144,45.2179,0.301,-1.911,0.91,0.96
1734,13.9875,24.5599,-1.0366,45.1152,0.317,-1.931,0.9,0.96
1740,8.954,15.259,-1.0217,27.9235,0.302,-1.872,0.91,0.93
1746,10.4801,18.188,-1.1048,33.7735,0.309,-1.989,0.9,0.93
1751,8.1514,13.2392,-1.1031,23.4853,0.27,-1.955,0.93,0.91
1757,9.4548,16.4456,-1.1251,30.8759,0.307,-1.964,0.91,0.92
1763,5.7161,9.7782,-1.1223,19.002,0.3,-1.935,0.91,0.88
1769,8.7395,14.38,-1.1082,25.6265,0.279,-1.884,0.92,0.92
1775,6.1372,10.101,-1.1701,18.8805,0.282,-1.965,0.92,0.88
1781,6.0693,10.1133,-1.1356,19.0402,0.284,-1.876,0.92,0.88
1787,4.3937,7.6001,-1.1526,15.4895,0.305,-1.854,0.91,0.83
1792,4.4131,7.1082,-1.1352,13.6395,0.267,-1.82,0.93,0.84
1798,4.7322,7.5561,-1.1641,14.2414,0.263,-1.847,0.93,0.85
1804,4.8635,7.6152,-1.1349,13.8739,0.251,-1.767,0.94,0.86
1810,3.2497,4.8696,-1.144,9.3802,0.228,-1.768,0.95,0.78
1816,3.7137,5.2889,-1.1572,9.3691,0.202,-1.789,0.96,0.8
1822,3.748,5.8235,-1.1044,10.8589,0.244,-1.616,0.94,0.83
1828,3.8742,5.5332,-1.241,9.9472,0.207,-1.931,0.96,0.78
1833,3.0371,4.4535,-1.2442,8.7602,0.225,-1.884,0.95,0.75
1839,3.1043,4.8726,-1.2386,9.9426,0.258,-1.8,0.93,0.77
1845,3.1088,4.1685,-1.2104,7.5281,0.176,-1.826,0.97,0.74
1851,2.7488,3.7049,-1.2923,7.1337,0.189,-1.969,0.96,0.69
1857,3.6593,5.599,-1.2226,10.5966,0.24,-1.689,0.94,0.81
1863,2.8244,4.0795,-1.2952,8.1762,0.22,-1.848,0.95,0.72
1869,4.0145,5.747,-1.3716,10.5517,0.229,-1.985,0.95,0.77
1875,4.1761,5.3235,-1.3366,8.5571,0.178,-2.052,0.97,0.79
1880,4.1989,5.5807,-1.3885,9.5118,0.214,-2.056,0.95,0.78
1886,3.3555,4.4718,-1.4848,8.291,0.247,-2.16,0.94,0.72
1892,4.3285,5.8,-1.438,9.9499,0.23,-2.062,0.95,0.78
1898,4.7143,6.3783,-1.4544,10.847,0.237,-2.052,0.94,0.79
1904,4.1733,5.9817,-1.3888,10.7279,0.236,-1.844,0.94,0.8
1910,5.1757,7.3584,-1.4725,12.7791,0.254,-1.957,0.94,0.81
1916,4.9087,7.0886,-1.4541,12.4791,0.253,-1.879,0.94,0.82
1921,5.9269,8.1742,-1.4744,13.4275,0.241,-1.937,0.94,0.84
1927,6.0845,8.9048,-1.4441,15.0292,0.255,-1.799,0.93,0.87
1933,5.5755,7.1045,-1.542,11.1651,0.245,-2.096,0.94,0.81
1939,6.0838,8.1317,-1.5556,13.0978,0.261,-2.009,0.93,0.83
1945,7.0398,9.2422,-1.4976,14.0145,0.231,-1.943,0.95,0.86
1951,4.9631,6.1763,-1.5972,9.844,0.258,-2.11,0.93,0.78
1957,5.6978,7.5281,-1.5734,12.111,0.26,-1.964,0.93,0.82
1962,7.8336,9.3277,-1.5743,12.9115,0.233,-2.119,0.95,0.86
1968,5.374,6.231,-1.5349,9.0038,0.208,-2.114,0.96,0.8
1974,5.1478,6.0915,-1.5709,9.16,0.23,-2.082,0.95,0.79
1980,6.7888,8.2971,-1.6391,12.2073,0.263,-2.052,0.93,0.83
1986,5.5917,6.5754,-1.6128,9.6877,0.239,-2.075,0.94,0.79
1992,4.337,4.8941,-1.6507,7.5139,0.253,-2.15,0.94,0.73
1998,4.6412,4.89,-1.6933,7.0664,0.266,-2.262,0.93,0.73
2003,5.1098,5.2604,-1.5437,6.9431,0.192,-2.259,0.96,0.78
2009,3.5641,3.5703,-1.566,5.254,0.2,-2.325,0.96,0.67
2015,3.8397,4.0703,-1.4441,5.7109,0.139,-2.088,0.98,0.75
2021,3.0404,3.0368,-1.5678,4.7232,0.196,-2.273,0.96,0.64
2027,4.2438,4.494,-1.7117,6.6185,0.264,-2.16,0.93,0.71
2033,2.8183,2.6658,-1.56,4.1526,0.193,-2.373,0.96,0.6
2039,3.5829,2.9669,-1.573,3.8294,0.217,-2.639,0.95,0.64
2044,3.1826,2.8512,-1.5763,4.0648,0.202,-2.449,0.96,0.63
2050,2.7937,2.6418,-1.4956,3.998,0.157,-2.349,0.98,0.62
2056,3.1626,2.5992,-1.5518,3.5093,0.205,-2.674,0.96,0.59
2062,2.961,2.4335,-1.6901,3.5183,0.262,-2.485,0.93,0.57
2068,3.1334,2.3717,-1.6533,3.1777,0.264,-2.633,0.93,0.56
2074,2.7114,2.2546,-1.5613,3.3139,0.201,-2.552,0.96,0.56
2080,3.3145,2.5898,-1.4758,3.1775,0.184,-2.78,0.97,0.64
2085,3.6279,3.0935,-1.5237,3.9073,0.174,-2.513,0.97,0.67
2091,4.0148,3.1292,-1.6507,3.7525,0.249,-2.518,0.94,0.65
2097,3.2504,2.773,-1.4784,3.5729,0.154,-2.535,0.98,0.66
2103,4.0882,3.1479,-1.6197,3.6907,0.234,-2.627,0.95,0.63
2109,3.9993,3.0177,-1.6523,3.5423,0.253,-2.518,0.94,0.64
2115,4.2041,3.5921,-1.6807,4.4752,0.237,-2.263,0.94,0.69
2121,3.574,2.4197,-1.5822,2.7344,0.262,-2.734,0.93,0.59
2126,3.4033,2.5999,-1.6519,3.3017,0.247,-2.452,0.94,0.6
2132,3.98,2.912,-1.6158,3.3303,0.241,-2.548,0.94,0.64
2138,4.4042,3.1256,-1.6256,3.3739,0.255,-2.575,0.93,0.65
2144,4.428,3.4894,-1.8268,4.1072,0.307,-2.214,0.91,0.67
2150,4.7115,3.8268,-1.6093,4.2976,0.202,-2.35,0.96,0.72
2156,4.7626,3.6295,-1.5205,3.7922,0.191,-2.559,0.96,0.73
2162,5.5297,4.1305,-1.683,4.2892,0.252,-2.367,0.94,0.71
2167,5.8537,4.8683,-1.6616,5.2629,0.219,-2.171,0.95,0.77
2173,6.1569,4.5039,-1.7795,4.5122,0.295,-2.258,0.91,0.73
2179,4.5075,3.2346,-1.8015,3.546,0.307,-2.247,0.91,0.65
2185,6.2665,4.5762,-1.6165,4.4084,0.232,-2.404,0.95,0.75
2191,6.8469,5.0336,-1.6904,4.8298,0.253,-2.304,0.94,0.76
2197,6.6613,5.2306,-1.6306,5.2,0.213,-2.237,0.95,0.79
2203,6.5649,4.7798,-1.7296,4.6291,0.268,-2.239,0.93,0.74
2208,7.0096,5.3681,-1.6521,5.1978,0.225,-2.216,0.95,0.79
2214,5.5777,3.9899,-1.729,3.9775,0.271,-2.218,0.93,0.72
2220,4.5558,3.1165,-1.5363,3.0813,0.222,-2.544,0.95,0.69
2226,6.1562,4.2108,-1.592,3.8491,0.238,-2.423,0.94,0.75
2232,5.5928,3.5817,-1.5574,3.2039,0.255,-2.529,0.93,0.72
2238,4.8811,3.0322,-1.7208,2.8936,0.31,-2.326,0.9,0.65
2244,5.3282,3.42,-1.575,3.1205,0.256,-2.485,0.93,0.7
2250,4.3054,2.6133,-1.5639,2.5098,0.276,-2.519,0.92,0.63
2255,5.1844,3.2061,-1.4998,2.8126,0.255,-2.6,0.94,0.7
2261,4.5696,2.9189,-1.5168,2.7387,0.243,-2.532,0.94,0.68
2267,3.747,2.6031,-1.4586,2.6607,0.196,-2.584,0.96,0.67
2273,3.6608,2.1355,-1.6471,2.171,0.307,-2.371,0.91,0.57
2279,4.0767,2.7844,-1.5173,2.7847,0.209,-2.44,0.96,0.68
2285,3.8991,2.5243,-1.498,2.5015,0.231,-2.509,0.95,0.65
2291,3.6332,2.3203,-1.4503,2.3103,0.23,-2.593,0.95,0.64
2296,4.0842,2.5278,-1.4173,2.3411,0.244,-2.653,0.94,0.67
2302,4.8674,3.118,-1.4993,2.8304,0.236,-2.471,0.94,0.7
2308,3.7643,2.0958,-1.4649,1.9501,0.3,-2.591,0.91,0.58
